policy,family,episodes,fall_rate,forward_speed_mps,return_mean,terrain_crossing_episodes,one_terrain_tile_crossings,one_terrain_tile_crossing_rate,all_terrain_tiles_crossings,all_terrain_tiles_crossing_rate,complete_lane_loops,boundary_evidence_available,out_of_lane_exits,world_exits
selected_traverse1499,flat,75,0.0667,9.0090,130.2926,,,,,,,False,,
selected_traverse1499,obstacles,75,0.0533,3.1683,47.9426,75,70,0.9333333333333333,43,0.5733333333333334,37,True,1,0
selected_traverse1499,rough,75,0.0667,3.5829,54.4691,75,69,0.92,51,0.68,46,True,1,0
selected_traverse1499,slope,75,0.0400,3.3238,51.2190,75,72,0.96,37,0.49333333333333335,31,True,0,0
selected_traverse1499,stairs,75,0.0533,2.6667,41.4891,75,70,0.9333333333333333,21,0.28,16,True,1,0
selected_traverse1499,stepping_stones,75,0.0667,1.3003,23.4913,75,24,0.32,0,0.0,0,True,5,0
selected_traverse1499,waves,75,0.1467,3.5924,51.1922,75,64,0.8533333333333334,45,0.6,41,True,0,0
selected_recovery_deep1000,flat,75,0.1333,10.1572,141.7933,,,,,,,False,,
selected_recovery_deep1000,obstacles,75,0.1867,2.9512,34.5604,75,57,0.76,23,0.30666666666666664,18,True,4,0
selected_recovery_deep1000,rough,75,0.0533,3.2280,43.4918,75,71,0.9466666666666667,37,0.49333333333333335,31,True,0,0
selected_recovery_deep1000,slope,75,0.0800,3.0043,39.6221,75,68,0.9066666666666666,25,0.3333333333333333,25,True,1,0
selected_recovery_deep1000,stairs,75,0.2000,2.4911,29.8237,75,58,0.7733333333333333,7,0.09333333333333334,5,True,2,0
selected_recovery_deep1000,stepping_stones,75,0.1333,1.6024,19.1127,75,55,0.7333333333333333,0,0.0,0,True,1,0
selected_recovery_deep1000,waves,75,0.2400,3.3463,40.0551,75,57,0.76,41,0.5466666666666666,30,True,0,0
selected_portal_rehearsal4,flat,75,0.0933,8.8450,127.6616,,,,,,,False,,
selected_portal_rehearsal4,obstacles,75,0.0800,3.2673,47.4672,75,68,0.9066666666666666,40,0.5333333333333333,35,True,1,0
selected_portal_rehearsal4,rough,75,0.0533,3.6491,55.2503,75,70,0.9333333333333333,55,0.7333333333333333,51,True,1,0
selected_portal_rehearsal4,slope,75,0.0400,3.3557,51.2770,75,72,0.96,41,0.5466666666666666,35,True,0,0
selected_portal_rehearsal4,stairs,75,0.0533,2.7485,41.8949,75,71,0.9466666666666667,26,0.3466666666666667,22,True,0,0
selected_portal_rehearsal4,stepping_stones,75,0.0800,1.6064,23.6497,75,56,0.7466666666666667,1,0.013333333333333334,0,True,1,0
selected_portal_rehearsal4,waves,75,0.1200,3.5897,52.5973,75,66,0.88,51,0.68,46,True,0,0
